study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
brfss,4,PSEUL-Select,"[""bmi"", ""age"", ""hypertension"", ""exercise_any"", ""high_cholesterol"", ""kidney_disease"", ""general_health"", ""heart_attack""]",8,0.1131339133280424,0.7583333333333333,0,0.0,0
brfss,4,PSEUL-Audit,"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""insulin_use"", ""age"", ""hypertension"", ""insulin_use_observed"", ""exercise_any""]",8,0.4640387713159003,0.7458333333333333,4,1.0,0
brfss,4,PSEUL-Auto (leakage metadata null),"[""diabetes_age_observed"", ""diabetes_age"", ""bmi"", ""hypertension"", ""insulin_use"", ""age"", ""high_cholesterol"", ""exercise_any""]",8,0.3692970339323901,0.7583333333333333,3,0.75,0
brfss,4,Oracle Trap Exclusion + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""exercise_any"", ""sex_male"", ""kidney_disease"", ""heart_attack""]",8,0.10738825667968932,0.7020833333333334,0,0.0,0
brfss,5,All Features,"[""age"", ""sex_male"", ""bmi"", ""general_health"", ""physical_health_days"", ""mental_health_days"", ""checkup_recent"", ""exercise_any"", ""hypertension"", ""high_cholesterol"", ""heart_attack"", ""heart_disease"", ""kidney_disease"", ""current_smoker"", ""insulin_use"", ""diabetes_age"", ""insulin_use_observed"", ""diabetes_age_observed""]",18,0.26255312438385237,0.6916666666666667,4,1.0,0
brfss,5,Mutual Information,"[""diabetes_age_observed"", ""diabetes_age"", ""insulin_use_observed"", ""general_health"", ""age"", ""insulin_use"", ""exercise_any"", ""checkup_recent""]",8,0.4711229428020305,0.6916666666666667,4,1.0,0
brfss,5,LightGBM Gain,"[""bmi"", ""age"", ""general_health"", ""physical_health_days"", ""kidney_disease"", ""diabetes_age"", ""insulin_use_observed"", ""mental_health_days""]",8,0.28204201757188785,0.6854166666666668,2,0.5,0
brfss,5,Permutation Importance,"[""diabetes_age_observed"", ""checkup_recent"", ""heart_attack"", ""insulin_use_observed"", ""diabetes_age"", ""insulin_use"", ""current_smoker"", ""kidney_disease""]",8,0.4738909699851249,0.66875,4,1.0,0
brfss,5,SHAP Ranking,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""physical_health_days"", ""checkup_recent""]",8,0.40345786642222964,0.6791666666666667,3,0.75,0
brfss,5,Availability Gate + SHAP,"[""diabetes_age_observed"", ""diabetes_age"", ""age"", ""insulin_use_observed"", ""general_health"", ""bmi"", ""physical_health_days"", ""checkup_recent""]",8,0.40345786642222964,0.6791666666666667,3,0.75,0
brfss,5,Semantic Veto + SHAP,"[""age"", ""general_health"", ""bmi"", ""physical_health_days"", ""checkup_recent"", ""kidney_disease"", ""sex_male"", ""heart_attack""]",8,0.11870916141358101,0.6770833333333334,0,0.0,0
brfss,5,PSEUL-Select,"[""age"", ""bmi"", ""hypertension"", ""exercise_any"", ""high_cholesterol"", ""kidney_disease"", ""general_health"", ""heart_attack""]",8,0.11354723051451251,0.7583333333333333,0,0.0,0
brfss,5,PSEUL-Audit,"[""diabetes_age_observed"", ""age"", ""bmi"", ""diabetes_age"", ""insulin_use"", ""hypertension"", ""insulin_use_observed"", ""exercise_any""]",8,0.4641799522631435,0.7458333333333333,4,1.0,0
brfss,5,PSEUL-Auto (leakage metadata null),"[""diabetes_age_observed"", ""age"", ""bmi"", ""diabetes_age"", ""hypertension"", ""insulin_use"", ""high_cholesterol"", ""exercise_any""]",8,0.36926247236499005,0.7583333333333333,3,0.75,0
brfss,5,Oracle Trap Exclusion + SHAP,"[""age"", ""general_health"", ""bmi"", ""checkup_recent"", ""sex_male"", ""exercise_any"", ""kidney_disease"", ""heart_attack""]",8,0.10778747662463253,0.7020833333333334,0,0.0,0
