variant,learner,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,mean_selected_features,mean_designated_traps_selected,mean_pairwise_jaccard
Without evidence E,LightGBM,0.7881672559129407,0.4288307063846537,0.2922330292789872,0.8416079436258809,0.6010265872936809,0.8142456194183094,0.11795723765455503,0.2399232245681382,0.9621299500192234,0.5592841163310962,0.8633776091081594,8.0,0.0,0.5305050505050504
Without evidence E,Logistic regression,0.7829945628471553,0.4209111899262844,0.230934034423091,0.83888532991672,0.5640894798324283,0.7979495953097026,0.11757856532700667,0.15163147792706333,0.9765474817377932,0.5642857142857143,0.85177733065057,8.0,0.0,0.5305050505050504
Without predictive utility P,LightGBM,0.7808434634250373,0.41245712339183394,0.2588026307575416,0.8360025624599615,0.5880692572840358,0.8066096432709974,0.11995580009085674,0.21593090211132437,0.9602076124567474,0.5208333333333334,0.8594287680660702,8.0,0.0,0.6743434343434342
Without predictive utility P,Logistic regression,0.7768899419313846,0.4045061580981918,0.21803984049365546,0.8392056374119155,0.5550722038843764,0.7937033891440671,0.11888136576054543,0.12859884836852206,0.9815455594002307,0.5826086956521739,0.8490189557698703,8.0,0.0,0.6743434343434342
Without redundancy penalty,LightGBM,0.7866356583655629,0.4235498714993079,0.2832251827408832,0.8409673286354901,0.5956536353580234,0.811975497716566,0.11835961115761694,0.22744721689059502,0.9638600538254517,0.5576470588235294,0.8616600790513834,8.0,0.0,0.7466666666666666
Without redundancy penalty,Logistic regression,0.7766371969735544,0.41377617917233,0.23216253128463377,0.840006406149904,0.5620761909822075,0.7974598873244882,0.11834910564510343,0.14491362763915547,0.9792387543252595,0.583011583011583,0.8511278195488722,8.0,0.0,0.7466666666666666
Without semantic veto,LightGBM,0.7917892571954829,0.4287868173903712,0.2927047483908246,0.8398462524023063,0.6049577860574813,0.814641356405664,0.11776435768637025,0.2523992322456814,0.9575163398692811,0.5433884297520661,0.8647569444444444,8.0,0.0,0.7511111111111111
Without semantic veto,Logistic regression,0.7821598587875178,0.4170353799206025,0.23696283270569476,0.8409673286354901,0.5626528922509503,0.7981258413939153,0.1175967132619691,0.14491362763915547,0.9803921568627451,0.5968379446640316,0.8512769153730596,8.0,0.0,0.7511111111111111
Without soft leakage penalty,LightGBM,0.7918109342265378,0.43140421868085266,0.28630763108604707,0.83888532991672,0.6020787073626636,0.8131367637750853,0.11749746510625408,0.24664107485604606,0.9575163398692811,0.5376569037656904,0.8638570933055845,8.0,0.0,0.7155555555555555
Without soft leakage penalty,Logistic regression,0.7823192541477845,0.4175799708393935,0.23703216381212405,0.8406470211402947,0.56361184720774,0.7984535096890016,0.11751235771259434,0.14779270633397312,0.9794309880815071,0.5900383141762452,0.8515794751796757,8.0,0.0,0.7155555555555555
