study,fold,feature,raw_predictive_drop,predictive_utility,raw_shap_mean_abs,raw_shap_cv,shap_stability,evidence_relevance,clinical_utility,label_derived_risk,definitional_overlap,target_proxy_strength,semantic_risk_max,available_at_prediction,interpretation,leakage_risk,theta_l_mean,audit_score,pre_score,uncertainty_width,pseul_category,semantic_veto,admissible_for_selection,select_score,selection_order,selected,rejection_reason
adherence,3,GENDER_M,0.0002502658326463643,0.0009543168186276415,0.05009629218489057,0.2868758858943163,0.7131241141056837,0.5,0.5333333333333333,0.0,0.0,0.05,0.05,True,"Subgroup descriptor; useful for stratification, not direct intervention.",0.04091999678540351,0.5,0.40124445120005836,0.39720220681255075,0.00036954136729332735,Domain-Supportive Feature,False,True,0.3937604393195419,,False,not-in-final-subset
adherence,3,COVERTYPE_STANDARD,0.00019528700132530978,0.0007108661706990042,0.01584975858991547,0.22390736660748334,0.5,0.45,0.5,0.05,0.05,0.25,0.25,True,Administrative coverage context.,0.09429412265591064,0.5,0.3377132598512097,0.33196957544970523,9.906522594967013e-05,Low-Value Feature,False,True,0.3131489739539108,,False,not-in-final-subset
adherence,3,SCHEMETYPE_MEDIUM,3.475100923314341e-05,0.0,0.019800403089381028,0.4398774037537386,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.12609296567267106,0.5,0.33333333333333337,0.3255846678639669,0.0003823355598814598,Low-Value Feature,False,True,0.3062535805697058,,False,not-in-final-subset
adherence,3,SCHEMETYPE_PREMIUM,5.77092147383107e-05,0.00010166076417436262,0.0038729795896122036,0.33156924501272134,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.142282630252455,0.5,0.33336383156258564,0.3242877750531435,0.0004977033019404778,Low-Value Feature,False,True,0.3020705076603852,,False,not-in-final-subset
adherence,4,DIAGNOSIS_HYPERTENSION,0.006523827598844046,0.029336950790355462,0.08421998093319888,0.12162414227428232,0.8783758577257177,0.85,0.8000000000000002,0.0,0.0,0.1,0.1,True,Clinically meaningful diagnosis for adherence support.,0.05967796382684493,0.5,0.5969762567822502,0.5897108341811985,0.00096644306133743,Clinically Actionable Feature,False,True,0.5897108341811985,1.0,True,
adherence,4,COMPLICATIONDEVELOPMENT_NO_COMPLICATION,0.01672109399226979,0.07519296060169445,0.1864839212822805,0.116996344494121,0.883003655505879,0.8,0.7333333333333334,0.05,0.15,0.25,0.25,True,"Clinical status, but temporality must be verified.",0.14854381798203808,0.5,0.5824919526150175,0.5656102728597554,0.0014536417695786856,Clinically Actionable Feature,False,True,0.5595528419051936,2.0,True,
adherence,4,AGE,0.007627542782838562,0.03430023922016507,0.24389181847793343,0.050109560206723434,0.9498904397932766,0.9,0.75,0.0,0.0,0.05,0.05,True,Demographic risk stratifier available before prediction.,0.2624989245924727,0.5,0.6127681597247049,0.5606226875789831,1.2516415339754369e-08,Clinically Actionable Feature,False,True,0.5537696155032772,3.0,True,
adherence,4,ANNUALCLAIMAMOUNT,0.07816197034687947,0.3514859709275468,0.7239430163862277,0.03566023780871829,0.9643397621912817,0.725,0.5333333333333333,0.15,0.3,0.75,0.75,True,Claims-utilization proxy with strong leakage risk.,0.313958106143341,0.5,0.6128970770498537,0.5293339941403442,0.016809837637660502,Domain-Supportive Feature,False,True,0.520739191939131,4.0,True,
adherence,4,COMORBIDITY_NO_COMORBIDITY,0.00037445665886537416,0.001683891305803499,0.03285490602878253,0.24521826682328546,0.7547817331767146,0.85,0.7999999999999999,0.0,0.0,0.1,0.1,True,Comorbidity status supports clinical risk stratification.,0.1664247789307949,0.5,0.5639615140270839,0.5445804864675683,0.00017274126934758256,Clinically Actionable Feature,False,True,0.4973151973195668,5.0,True,
adherence,4,UNITSTOTAL,0.22237478968120836,0.9999955031075936,2.067378420696489,0.011141896305083922,0.9888581036949161,0.825,0.6000000000000001,0.2,0.4,0.9,0.9,True,Dispensed-unit proxy close to refill/PDC behavior.,0.39287257238914863,0.5,0.8540202716712614,0.6343966472624808,0.03984707512617208,Domain-Supportive Feature,True,False,0.5443670369694235,,False,semantic-veto
adherence,4,ANNUALCONTRIBUTION,0.0010785682592181415,0.004850205414736678,0.08136067463274772,0.18199325142257092,0.818006748577429,0.55,0.5499999999999999,0.05,0.05,0.3,0.3,True,Affordability and insurance context; not direct adherence evidence.,0.14741798626483546,0.5,0.4400564113399068,0.42742731888955965,0.0012817990626322808,Domain-Supportive Feature,False,True,0.40434621940966126,,False,not-in-final-subset
adherence,4,GENDER_M,0.00029157595216744436,0.001311185685210784,0.05245486046989262,0.37435455167915554,0.6256454483208445,0.5,0.5333333333333333,0.0,0.0,0.05,0.05,True,"Subgroup descriptor; useful for stratification, not direct intervention.",0.039184816834258666,0.5,0.3838557787030654,0.3800544541332016,0.0003396622632294617,Domain-Supportive Feature,False,True,0.37644771093924595,,False,not-in-final-subset
adherence,4,COVERTYPE_STANDARD,0.0,0.0,0.017417670658171146,0.031133377696048552,0.5,0.45,0.5,0.05,0.05,0.25,0.25,True,Administrative coverage context.,0.09581330469799482,0.5,0.3375,0.3316570037852371,0.0005178717347593801,Low-Value Feature,False,True,0.3123568389335055,,False,not-in-final-subset
adherence,4,SCHEMETYPE_MEDIUM,1.2204374026566118e-06,5.488175688577414e-06,0.010617979693523738,0.37626498592006885,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.13028345608892367,0.5,0.33333497978603993,0.32520727625358953,0.001187605050302548,Low-Value Feature,False,True,0.3059994593994189,,False,not-in-final-subset
adherence,4,SCHEMETYPE_PREMIUM,0.0,0.0,0.004813641794282134,0.14648540710709812,0.5,0.45,0.4833333333333334,0.05,0.05,0.25,0.25,True,Insurance plan proxy.,0.14746372871077287,0.5,0.33333333333333337,0.32376232306894365,0.0009856488400370681,Low-Value Feature,False,True,0.301646963158176,,False,not-in-final-subset
