study,fold,method,features,n_features,avg_leakage_risk,avg_clinical_utility,designated_traps_selected,designated_trap_fraction,prediction_unavailable_selected
diabetes130_admission,4,SHAP Ranking,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""num_medications"", ""time_in_hospital""]",5,0.4477419255007641,0.5466666666666666,3,0.2727272727272727,3
diabetes130_admission,4,Availability Gate + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""admission_type_id"", ""number_emergency""]",5,0.16105301224287646,0.5900000000000001,0,0.0,0
diabetes130_admission,4,Semantic Veto + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""admission_type_id"", ""number_emergency""]",5,0.16105301224287646,0.5900000000000001,0,0.0,0
diabetes130_admission,4,PSEUL-Select,"[""number_inpatient"", ""age_ordinal"", ""admission_type_id"", ""number_outpatient"", ""number_emergency""]",5,0.14926797914250362,0.6066666666666667,0,0.0,0
diabetes130_admission,4,PSEUL-Audit,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""a1c_ordinal"", ""time_in_hospital""]",5,0.43621051175228837,0.55,3,0.2727272727272727,3
diabetes130_admission,4,PSEUL-Auto (leakage metadata null),"[""number_inpatient"", ""age_ordinal"", ""admission_type_id"", ""number_outpatient"", ""number_emergency""]",5,0.14926797914250362,0.6066666666666667,0,0.0,0
diabetes130_admission,4,Oracle Trap Exclusion + SHAP,"[""age_ordinal"", ""number_inpatient"", ""admission_source_id"", ""admission_type_id"", ""gender_male""]",5,0.132021804765869,0.58,0,0.0,0
diabetes130_admission,5,All Features,"[""time_in_hospital"", ""num_lab_procedures"", ""num_procedures"", ""num_medications"", ""number_outpatient"", ""number_emergency"", ""number_inpatient"", ""number_diagnoses"", ""discharge_disposition_id"", ""admission_source_id"", ""admission_type_id"", ""age_ordinal"", ""gender_male"", ""a1c_ordinal"", ""max_glu_ordinal"", ""insulin_ordinal"", ""change_flag"", ""diabetesMed_flag""]",18,0.3705324952317049,0.5111111111111112,11,1.0,11
diabetes130_admission,5,Mutual Information,"[""discharge_disposition_id"", ""change_flag"", ""number_inpatient"", ""number_diagnoses"", ""max_glu_ordinal""]",5,0.5147631008695341,0.47333333333333333,4,0.36363636363636365,4
diabetes130_admission,5,LightGBM Gain,"[""num_lab_procedures"", ""num_medications"", ""discharge_disposition_id"", ""time_in_hospital"", ""age_ordinal""]",5,0.47714027872904996,0.5166666666666667,4,0.36363636363636365,4
diabetes130_admission,5,Permutation Importance,"[""discharge_disposition_id"", ""number_inpatient"", ""num_lab_procedures"", ""a1c_ordinal"", ""time_in_hospital""]",5,0.5097981795558538,0.49333333333333335,4,0.36363636363636365,4
diabetes130_admission,5,SHAP Ranking,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""num_lab_procedures"", ""num_medications""]",5,0.43297910085804403,0.53,3,0.2727272727272727,3
diabetes130_admission,5,Availability Gate + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""number_emergency"", ""admission_type_id""]",5,0.15747531040896257,0.5900000000000001,0,0.0,0
diabetes130_admission,5,Semantic Veto + SHAP,"[""number_inpatient"", ""age_ordinal"", ""admission_source_id"", ""number_emergency"", ""admission_type_id""]",5,0.15747531040896257,0.5900000000000001,0,0.0,0
diabetes130_admission,5,PSEUL-Select,"[""number_inpatient"", ""age_ordinal"", ""number_emergency"", ""admission_type_id"", ""number_outpatient""]",5,0.15047606351282405,0.6066666666666667,0,0.0,0
diabetes130_admission,5,PSEUL-Audit,"[""discharge_disposition_id"", ""number_inpatient"", ""age_ordinal"", ""a1c_ordinal"", ""time_in_hospital""]",5,0.4309930184396865,0.55,3,0.2727272727272727,3
diabetes130_admission,5,PSEUL-Auto (leakage metadata null),"[""number_inpatient"", ""age_ordinal"", ""number_emergency"", ""admission_type_id"", ""number_outpatient""]",5,0.15047606351282405,0.6066666666666667,0,0.0,0
diabetes130_admission,5,Oracle Trap Exclusion + SHAP,"[""age_ordinal"", ""number_inpatient"", ""admission_source_id"", ""admission_type_id"", ""number_emergency""]",5,0.15747531040896257,0.5900000000000001,0,0.0,0
