study,scenario,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
nhanes,Cross-sectional classification stress test,Mutual Information,0.931962440992354,0.8450586315894921,0.7590336678445473,0.9370595771941064,0.8233159621908301,0.9320877418202758,0.0521970318763684,0.6525911708253359,0.9940407535563244,0.9563994374120957,0.9345743719501176,-0.3673406579912361,0.6626467823585642
nhanes,Cross-sectional classification stress test,Oracle Trap Exclusion + SHAP,0.7926417640933909,0.4225592251202585,0.2695220793757639,0.8361627162075592,0.5950725064403842,0.8092381606906505,0.1187045231930364,0.2332053742802303,0.9569396386005382,0.5203426124197003,0.8616929202007962,-0.3012917102348364,0.6786026123134569
nhanes,Cross-sectional classification stress test,PSEUL-Audit,0.9417226395281308,0.86029281098771,0.7635372430017981,0.9381806534272902,0.8285935351898466,0.9336027880294212,0.0505319422486683,0.6641074856046065,0.9930795847750864,0.9505494505494504,0.9365482233502538,-0.3292389029890057,0.6748373031855746
nhanes,Cross-sectional classification stress test,PSEUL-Auto (leakage metadata null),0.9468244902115752,0.8660702716297026,0.7647973545583361,0.9385009609224856,0.831088146372169,0.934122336100638,0.0499230347510304,0.6698656429942419,0.992310649750096,0.94579945799458,0.9375227025063568,-0.3096975815214475,0.6866415936813335
nhanes,Cross-sectional classification stress test,PSEUL-Select,0.7928464506121594,0.435485087315236,0.3019030854408057,0.8419282511210763,0.6077422237571405,0.8167303979365897,0.1172260982296871,0.2562380038387716,0.9592464436755094,0.55741127348643,0.8655680832610582,-0.2927470879524488,0.6939272886505706
nhanes,Cross-sectional classification stress test,Permutation Importance,0.9468424775352164,0.8665864269309417,0.7654324534903416,0.9386611146700832,0.8327191815343427,0.9344150554557644,0.049786589664446,0.6737044145873321,0.9917339484813532,0.9422818791946308,0.9381705764684488,-0.3201670943842731,0.6771020127959092
nhanes,Cross-sectional classification stress test,SHAP Ranking,0.9457001441199716,0.8632250605032258,0.7614947138257847,0.9377001921844972,0.8286889141264876,0.9331759475635276,0.0501094009936817,0.6650671785028791,0.992310649750096,0.9454297407912688,0.9366721103248048,-0.2995631023283001,0.675492769046903
nhanes,Cross-sectional classification stress test,Semantic Veto + SHAP,0.7900561093806383,0.4243943808632981,0.2733616589747796,0.8380845611787315,0.5943072611228075,0.8099750941934142,0.118525750575998,0.2284069097888675,0.9602076124567474,0.5348314606741573,0.8613554061045008,-0.2917586836957914,0.6872139947971552
brfss,Cross-sectional structural-leakage stress test,All Features,1.0,1.0,1.0,1.0,1.0,1.0,5.562431690529371e-10,1.0,1.0,1.0,1.0,-0.0610108477951522,1.0311631199922968
brfss,Cross-sectional structural-leakage stress test,Availability Gate + SHAP,1.0,1.0,1.0,1.0,1.0,1.0,6.775122421229948e-10,1.0,1.0,1.0,1.0,-0.0608050095168239,1.0300351056641608
brfss,Cross-sectional structural-leakage stress test,LightGBM Gain,0.9977784512688676,0.9941046315835316,0.9905121937660588,0.99765,0.9921935729009156,0.9976427117351616,0.0022934213409765,0.984504132231405,0.999883013570426,0.99930094372597,0.9973744092420794,-0.4608650503664764,0.8022174346974377
brfss,Cross-sectional structural-leakage stress test,Mutual Information,1.0,1.0,1.0,1.0,1.0,1.0,7.024622892960643e-10,1.0,1.0,1.0,1.0,-0.0608588740411988,1.0302103811169705
brfss,Cross-sectional structural-leakage stress test,Oracle Trap Exclusion + SHAP,0.8030595798511341,0.3946758273615636,0.2127533264461973,0.85895,0.5518811450103193,0.8173128388040923,0.1043978633865149,0.1191460055096418,0.9846162845109968,0.5681444991789819,0.8680831313495951,-0.0831401712888568,0.9333327233263063
brfss,Cross-sectional structural-leakage stress test,PSEUL-Audit,1.0,1.0,1.0,1.0,1.0,1.0,1.0857382865065047e-09,1.0,1.0,1.0,1.0,-0.0609037910848475,1.031387165854226
brfss,Cross-sectional structural-leakage stress test,PSEUL-Auto (leakage metadata null),1.0,1.0,1.0,1.0,1.0,1.0,1.7712212405581196e-09,1.0,1.0,1.0,1.0,-0.0594247767884109,1.1111650879060522
brfss,Cross-sectional structural-leakage stress test,PSEUL-Select,0.792647311757394,0.3838353361592135,0.2104364213777593,0.859125,0.5500539571707203,0.8165747196996828,0.1057578942412147,0.1144972451790633,0.9856106691623772,0.57476231633535,0.8675951908966867,-0.0915113880095726,0.930779435631887
brfss,Cross-sectional structural-leakage stress test,Permutation Importance,1.0,1.0,1.0,1.0,1.0,1.0,8.037497276167597e-10,1.0,1.0,1.0,1.0,-0.0611073550705292,1.0311129379648278
brfss,Cross-sectional structural-leakage stress test,SHAP Ranking,1.0,1.0,1.0,1.0,1.0,1.0,6.775122421229948e-10,1.0,1.0,1.0,1.0,-0.0608050095168239,1.0300351056641608
brfss,Cross-sectional structural-leakage stress test,Semantic Veto + SHAP,0.8007787498380561,0.3877578655105732,0.1852668534053396,0.856725,0.5427900022688278,0.8123342663595777,0.1049002956135408,0.1003787878787878,0.9852012166588676,0.5353535353535354,0.8657192053660918,-0.0773921484888052,0.9381067579625118
diabetes130_admission,Admission-time 30-day readmission risk stress test,All Features,0.6358881255276085,0.1552530656169598,0.0203426516699487,0.9115,0.5011696944776715,0.8703189292937986,0.0784546106811103,0.0031960227272727,0.9991433662280702,0.2647058823529412,0.9121879496965526,-0.4267969660944348,0.801634251581458
diabetes130_admission,Admission-time 30-day readmission risk stress test,Availability Gate + SHAP,0.5646492564126826,0.117675447634765,0.0203317938808789,0.911125,0.5014453748006379,0.8703080826263327,0.0802896238892988,0.0042613636363636,0.9986293859649122,0.2307692307692307,0.912232377613622,-1.071714763450624,0.5332129915600269
diabetes130_admission,Admission-time 30-day readmission risk stress test,LightGBM Gain,0.5954387123314767,0.1333206246311148,0.0221919268525829,0.91178125,0.5010030402711324,0.87034057745383,0.0795481343645839,0.0024857954545454,0.9995202850877192,0.3333333333333333,0.9121611057256324,-0.8242035688687738,0.633584843017204
diabetes130_admission,Admission-time 30-day readmission risk stress test,Mutual Information,0.6288172525652288,0.1537457990914971,0.0271554278737131,0.910875,0.5022708582535885,0.8705353610771958,0.0786825447541566,0.0063920454545454,0.9981496710526316,0.25,0.9123653219744424,-0.5338291406462282,0.759611499895573
diabetes130_admission,Admission-time 30-day readmission risk stress test,Oracle Trap Exclusion + SHAP,0.5658443639533182,0.1181864301388311,0.0148359757018651,0.91115625,0.5009812350478469,0.8701451081047782,0.0802630540720823,0.0031960227272727,0.998766447368421,0.2,0.912157721796276,-1.087091359213678,0.5261258026692821
diabetes130_admission,Admission-time 30-day readmission risk stress test,PSEUL-Audit,0.6283317699766995,0.1488513036492764,0.0442326606849388,0.9114375,0.5035417912679425,0.8711768305035761,0.078956841261904,0.0085227272727272,0.998560855263158,0.3636363636363636,0.9125696749545938,-0.6129886267920799,0.7236347308218052
diabetes130_admission,Admission-time 30-day readmission risk stress test,PSEUL-Auto (leakage metadata null),0.5718121810012647,0.1198968591567911,0.0260639231842828,0.911375,0.50174286034689,0.8704946223432987,0.0801906700183637,0.0046164772727272,0.9988692434210528,0.2826086956521739,0.9122801527195344,-1.002380674303124,0.5628378213280305
diabetes130_admission,Admission-time 30-day readmission risk stress test,PSEUL-Select,0.5718121810012647,0.1198968591567911,0.0260639231842828,0.911375,0.50174286034689,0.8704946223432987,0.0801906700183637,0.0046164772727272,0.9988692434210528,0.2826086956521739,0.9122801527195344,-1.002380674303124,0.5628378213280305
diabetes130_admission,Admission-time 30-day readmission risk stress test,Permutation Importance,0.6250374108030085,0.1512225153178855,0.0300863478920165,0.91109375,0.5023907869816587,0.8706473529350982,0.078885741662022,0.0063920454545454,0.998389528508772,0.2769230769230769,0.9123845310787536,-0.6353154369749999,0.7135368236489542
diabetes130_admission,Admission-time 30-day readmission risk stress test,SHAP Ranking,0.6242888540362248,0.1500442183003968,0.0271727962099195,0.9114375,0.5017771256977671,0.870526398429833,0.0788782536028667,0.0046164772727272,0.998937774122807,0.2954545454545454,0.9122856427587932,-0.6216889531440204,0.7191066867492063
