study,reference,comparator,metric,delta_reference_minus_comparator,ci_low,ci_high,probability_delta_gt_zero,two_sided_bootstrap_p,bootstrap_replicates,inference_method,holm_adjusted_p
diabetes130_admission,PSEUL-Select,Semantic Veto + SHAP,auc,0.0071629245885822,0.0001296304424011,0.0141962187347633,0.97703982465516,0.04592035068968,0,paired DeLong,0.1836814027587203
diabetes130_admission,PSEUL-Select,Semantic Veto + SHAP,mcc,0.0055469896002058,-0.0095758899039791,0.0206720689649477,0.7605,0.47976011994003,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,All Features,auc,-0.0226461757997011,-0.0312266515632594,-0.0140657000361429,1.1520382264094405e-07,2.304076452818881e-07,0,paired DeLong,2.3040764528188803e-06
diabetes130_discharge,PSEUL-Select,All Features,mcc,-0.0195929348914904,-0.0386677738903333,9.321207065980208e-05,0.026,0.0539730134932533,2000,paired stratified multinomial bootstrap,0.4857571214392804
diabetes130_discharge,PSEUL-Select,Availability Gate + SHAP,auc,-0.0087810499849885,-0.0173661176875099,-0.000195982282467,0.022495242139062,0.044990484278124,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,Availability Gate + SHAP,mcc,-0.0109792564363265,-0.0339144457974852,0.0112795315381584,0.1675,0.3468265867066467,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,LightGBM Gain,auc,0.0087579168715036,-0.0011663417943231,0.0186821755373303,0.9581537942607596,0.0836924114784807,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,LightGBM Gain,mcc,-0.0005210907520584,-0.0259594613184031,0.0235632196628134,0.49,0.9875062468765616,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,Mutual Information,auc,-0.0022123701154621,-0.0115003036959991,0.0070755634650747,0.3202969120611348,0.6405938241222697,0,paired DeLong,0.6405938241222697
diabetes130_discharge,PSEUL-Select,Mutual Information,mcc,-0.0128556494618644,-0.036109156735987,0.0100265913795577,0.138,0.2788605697151424,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,Oracle Trap Exclusion + SHAP,auc,-0.0087810499849885,-0.0173661176875099,-0.000195982282467,0.022495242139062,0.044990484278124,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,Oracle Trap Exclusion + SHAP,mcc,-0.0109043059424286,-0.0334882393248338,0.012060926560721,0.1775,0.3608195902048975,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,PSEUL-Audit,auc,-0.0093580800233483,-0.0143016416072994,-0.0044145184393972,0.0001035283743798,0.0002070567487596,0,paired DeLong,0.0018635107388368
diabetes130_discharge,PSEUL-Select,PSEUL-Audit,mcc,-0.0099319098470901,-0.0240035651060478,0.0029309716643318,0.063,0.1419290354822588,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,PSEUL-Auto (leakage metadata null),auc,-0.0035860033898263,-0.006757822893926,-0.0004141838857267,0.0133477525469888,0.0266955050939777,0,paired DeLong,0.2135640407518221
diabetes130_discharge,PSEUL-Select,PSEUL-Auto (leakage metadata null),mcc,-0.0093020199011645,-0.0199857000627103,-0.0006245027851702,0.0155,0.031984007996002,2000,paired stratified multinomial bootstrap,0.3198400799600199
diabetes130_discharge,PSEUL-Select,Permutation Importance,auc,-0.0067319752497215,-0.0145938457232822,0.0011298952238391,0.0466431041699542,0.0932862083399085,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,Permutation Importance,mcc,-0.0061225334435617,-0.0246103851991165,0.0130541359424259,0.267,0.5387306346826587,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,SHAP Ranking,auc,-0.0087810499849885,-0.0173661176875099,-0.000195982282467,0.022495242139062,0.044990484278124,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,SHAP Ranking,mcc,-0.0111122000168156,-0.0335167965142667,0.0110553399422871,0.165,0.3388305847076461,2000,paired stratified multinomial bootstrap,1.0
diabetes130_discharge,PSEUL-Select,Semantic Veto + SHAP,auc,-0.0087810499849885,-0.0173661176875099,-0.000195982282467,0.022495242139062,0.044990484278124,0,paired DeLong,0.3149333899468681
diabetes130_discharge,PSEUL-Select,Semantic Veto + SHAP,mcc,-0.0109365214079309,-0.032674234001398,0.0119080800504176,0.1615,0.3338330834582708,2000,paired stratified multinomial bootstrap,1.0
